Year,Week,Cases,Pop,Notes,Key
2016,1,1819,48747708,A-5,61
2016,2,2064,48747708,B-5,63
2016,3,2749,48747708,F-6,69
2016,4,3567,48747708,B-6,75
2016,5,3606,48747708,C-7,76
2016,6,3187,48747708,G-6,72
2016,7,2820,48747708,F-6,69
2016,8,2345,48747708,C-6,65
2016,9,2388,48747708,D-6,66
2016,10,2281,48747708,C-6,65
2016,11,1898,48747708,A-5,62
2016,12,1568,48747708,F-5,57
2016,13,2520,48747708,D-6,67
2016,14,2397,48747708,D-6,66
2016,15,2357,48747708,D-6,66
2016,16,2257,48747708,C-6,65
2016,17,2139,48747708,C-6,64
2016,18,1926,48747708,A-5,62
2016,19,1954,48747708,A-5,62
2016,20,2028,48747708,B-5,63
2016,21,1715,48747708,G-5,59
2016,22,1498,48747708,E-5,56
2016,23,1453,48747708,E-5,56
2016,24,1186,48747708,C-5,53
2016,25,1057,48747708,B-4,51
2016,26,760,48747708,G-4,47
2016,27,701,48747708,F-4,46
2016,28,578,48747708,F-4,45
2016,29,431,48747708,D-4,43
2016,30,432,48747708,D-4,43
2016,31,313,48747708,C-4,41
2016,32,245,48747708,C-4,41
2016,33,251,48747708,C-4,41
2016,34,215,48747708,C-4,40
2016,35,173,48747708,C-4,40
2016,36,147,48747708,B-3,39
2016,37,118,48747708,B-3,39
2016,38,124,48747708,B-3,39
2016,39,112,48747708,B-3,39
2016,40,89,48747708,B-3,39
2016,41,74,48747708,A-3,37
2016,42,83,48747708,B-3,39
2016,43,73,48747708,A-3,37
2016,44,74,48747708,A-3,37
2016,45,46,48747708,F-3,33
2016,46,44,48747708,F-3,33
2016,47,45,48747708,F-3,33
2016,48,39,48747708,E-3,32
2016,49,60,48747708,G-3,35
2016,50,53,48747708,F-3,34
2016,51,37,48747708,E-3,32
2016,52,22,48747708,D-3,30
2017,1,76,49291609,A-3,38
2017,2,58,49291609,G-3,35
2017,3,91,49291609,B-3,39
2017,4,92,49291609,B-3,39
2017,5,86,49291609,B-3,39
2017,6,89,49291609,B-3,39
2017,7,71,49291609,A-3,37
2017,8,44,49291609,F-3,33
